x1,x2
-0.10102051443364381,-9.89897948556635576
-0.01000100020005001,-99.98999899979995121
-0.00100000100000200,-999.99899999900003422
-0.00010000000100000,-9999.99989999999888823
-0.00001000000000100,-99999.99998999999661464
-0.00000100000000000,-999999.99999899999238551
-0.00000010000000000,-9999999.99999989941716194
-0.00000001000000000,-100000000.00000000000000000
-0.00000000100000000,-1000000000.00000000000000000
-0.00000000010000000,-10000000000.00000000000000000
-0.00000000001000000,-100000000000.00000000000000000
-0.00000000000100000,-1000000000000.00000000000000000
-0.00000000000010000,-10000000000000.00000000000000000
-0.00000000000001000,-100000000000000.00000000000000000
-0.00000000000000100,-1000000000000000.00000000000000000
